log_id,timestamp,user_id,department,task_type,status,duration_sec,host,long_task,is_failed,hour,day
bf995a85-8396-46ab-ac5b-f9ee50df9ace,2025-06-15 03:43:09.471595,user_035,FX,publish,failed,333.45,render-node-13,False,True,3,2025-06-15
89b6a904-4e22-4cad-a07b-4fd419bc07ce,2025-06-12 12:35:09.471655,user_031,Compositing,upload,queued,4803.56,render-node-14,False,False,12,2025-06-12
11d55cac-c0d5-42b1-98a4-8ceacb59a23f,2025-06-12 14:45:09.471686,user_020,Layout,simulation,queued,3181.42,render-node-9,False,False,14,2025-06-12
48f62a3f-1ad7-4c06-97bc-95f796632b07,2025-06-13 20:37:09.471710,user_011,Lighting,render,failed,3564.71,render-node-7,False,True,20,2025-06-13
d5ad66aa-6047-4c53-a33a-680e4d0cfa40,2025-06-14 13:19:09.471734,user_038,FX,review,completed,1712.0,render-node-16,False,False,13,2025-06-14
64d37726-5d97-48db-82f0-086866c92cde,2025-06-14 19:13:09.471767,user_047,Compositing,simulation,in_progress,3880.95,render-node-14,False,False,19,2025-06-14
82182eeb-59ed-4405-b772-d0969491fd82,2025-06-16 15:08:09.471789,user_044,Animation,publish,failed,4483.79,render-node-14,False,True,15,2025-06-16
87dc1e30-a5e2-4721-9bb6-1d7621576051,2025-06-11 00:32:09.471813,user_027,Modeling,render,queued,1940.44,render-node-4,False,False,0,2025-06-11
4bf26142-6db8-49cf-93e4-cc868b28e419,2025-06-10 23:32:09.471839,user_042,FX,review,failed,3056.75,render-node-3,False,True,23,2025-06-10
b4cdedba-945f-4e09-ad3d-77a8f20b5015,2025-06-11 08:21:09.471862,user_025,Compositing,review,in_progress,1624.05,render-node-3,False,False,8,2025-06-11
89dfc618-d4f9-42d9-b048-96aef6457e3f,2025-06-12 10:43:09.471883,user_034,Lighting,render,completed,3899.75,render-node-2,False,False,10,2025-06-12
c15a0845-19fa-477d-9589-3d5e02654b7d,2025-06-16 02:27:09.471903,user_038,Modeling,review,queued,1432.42,render-node-10,False,False,2,2025-06-16
62f6e7b2-f201-4a30-baaf-6adba6c83314,2025-06-11 07:46:09.471951,user_008,Animation,render,in_progress,4315.12,render-node-4,False,False,7,2025-06-11
a2e6f835-9f03-4e80-82c0-25ce89f9640a,2025-06-14 08:45:09.471971,user_018,Rendering,render,completed,3578.51,render-node-5,False,False,8,2025-06-14
228c9814-dfd5-4644-b103-c2cdce08d925,2025-06-13 05:10:09.471991,user_030,Rendering,publish,in_progress,1906.33,render-node-17,False,False,5,2025-06-13
d91430d4-8d44-4e81-9320-b03a1620abc2,2025-06-13 01:57:09.472035,user_034,Lighting,render,queued,3070.06,render-node-6,False,False,1,2025-06-13
972a4fd7-9c3f-4b4a-a77d-4614964929e6,2025-06-14 09:34:09.472056,user_032,Lighting,render,completed,4239.05,render-node-16,False,False,9,2025-06-14
4634f7ff-d748-4cb7-928b-9478efc67258,2025-06-16 10:57:09.472076,user_028,Animation,upload,completed,3165.9,render-node-1,False,False,10,2025-06-16
1f624845-1a04-4aa5-8217-8f2222a44826,2025-06-13 17:14:09.472097,user_028,FX,upload,queued,1597.92,render-node-6,False,False,17,2025-06-13
73f0eb0b-3401-4a57-a5ef-86e8c680306e,2025-06-13 11:29:09.472115,user_042,Compositing,upload,queued,4917.62,render-node-1,False,False,11,2025-06-13
ba0f4eeb-f0d5-4226-9727-134da62fcf28,2025-06-11 02:50:09.472134,user_034,Modeling,simulation,failed,3573.79,render-node-9,False,True,2,2025-06-11
952a770e-c0bd-4f30-b5a1-d1b1b5784998,2025-06-13 22:24:09.472152,user_037,Modeling,render,in_progress,3831.32,render-node-10,False,False,22,2025-06-13
cee30029-fe79-4196-ab77-be5a1d5a5b21,2025-06-14 08:00:09.472170,user_035,Animation,render,failed,1600.76,render-node-11,False,True,8,2025-06-14
c21df4e2-40e7-4a38-958a-89cf9ac33f89,2025-06-11 21:02:09.472190,user_028,Lighting,simulation,queued,425.44,render-node-2,False,False,21,2025-06-11
e03949ea-a63e-41a6-a8ce-d37c1b125e54,2025-06-10 02:24:09.472210,user_017,Rendering,upload,in_progress,1718.49,render-node-7,False,False,2,2025-06-10
574f091b-7b62-4484-9447-d003d16731b1,2025-06-16 19:20:09.472229,user_001,Animation,publish,queued,4468.1,render-node-4,False,False,19,2025-06-16
